agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
gpt-5,CM-REC-4,CM,REC,4,5,0,0.0,0,1460,5274,4736,79.253,15.851,0,0,0,0,0,0,0.0,
gpt-5,SOC-COP-4,SOC,COP,4,5,5,1.0,2,1165,5467,4480,78.646,15.729,0,0,0,0,0,0,1.0,
gpt-5,CM-REC-1,CM,REC,1,5,5,1.0,2,500,758,512,18.953,3.791,0,0,0,0,0,0,1.0,
gpt-5,AF-WMM-5,AF,WMM,3,5,0,0.0,0,1085,8796,8064,156.197,31.239,0,0,0,0,0,0,0.0,
gpt-5,AF-WMM-2,AF,WMM,1,5,5,1.0,2,520,1778,1280,42.637,8.527,0,0,0,0,0,0,1.0,
gpt-5,CM-EXP-4,CM,EXP,4,5,2,0.4,1,970,10210,9280,197.874,39.575,0,0,0,0,0,0,0.4,
gpt-5,CM-EXP-3,CM,EXP,1,5,5,1.0,2,290,2804,2560,56.413,11.283,0,0,0,0,0,0,1.0,
gpt-5,AF-TOL-1,AF,TOL,1,5,5,1.0,2,370,1815,1536,33.98,6.796,0,0,0,0,0,0,1.0,
gpt-5,DLS-DOM-2,DLS,DOM,2,5,5,1.0,2,260,2689,2304,54.048,10.81,0,0,0,0,0,0,1.0,
gpt-5,AF-TOL-5,AF,TOL,5,5,0,0.0,0,1150,10240,10048,291.12,58.224,0,0,0,0,0,0,0.0,
gpt-5-reasoning,AF-CTX-4,AF,CTX,3,5,5,1.0,2,1205,2263,1664,35.675,7.135,0,0,0,0,0,0,1.0,
gpt-5-reasoning,DLS-PER-3,DLS,PER,3,5,5,1.0,2,605,15240,7616,281.775,56.355,0,0,0,0,0,0,1.0,
gpt-5-reasoning,DLS-PER-5,DLS,PER,5,5,5,1.0,2,1175,20183,17088,401.177,80.235,0,0,0,0,0,0,1.0,
